mapping_key_type,mapping_key_value,anonymized_product_code,anonymized_base_product_id,anonymized_variant_id,anonymized_sku,anonymized_product_name,product_family,product_form,pack_size_months,is_bundle,active
base_product_id,3666207299,PRODUCT-001,PRODUCT_ID-001,VARIANT_ID-001,SKU-001,Product-001,hair_vitamins,bottle,1,false,true
base_product_id,3666227011,PRODUCT-002,PRODUCT_ID-002,VARIANT_ID-002,SKU-002,Product-002,hair_vitamins,bottle,3,false,true
base_product_id,3829037894,PRODUCT-003,PRODUCT_ID-003,VARIANT_ID-003,SKU-003,Product-003,hair_vitamins,bottle,6,false,true
base_product_id,6630396821588,PRODUCT-004,PRODUCT_ID-004,,SKU-004,Product-004,hair_vitamins,bottle,8,false,true
base_product_id,2542624145492,PRODUCT-005,PRODUCT_ID-005,VARIANT_ID-004,SKU-005,Product-005,bundle,bundle,,true,true
base_product_id,1401588351060,PRODUCT-006,PRODUCT_ID-006,VARIANT_ID-005,SKU-006,Product-006,womens_multi,bottle,1,false,true
base_product_id,1517212762196,PRODUCT-007,PRODUCT_ID-007,VARIANT_ID-006,SKU-007,Product-007,womens_multi,bottle,3,false,true
base_product_id,1517212860500,PRODUCT-008,PRODUCT_ID-008,VARIANT_ID-007,SKU-008,Product-008,womens_multi,bottle,6,false,true
base_product_id,2520452563028,PRODUCT-009,PRODUCT_ID-009,VARIANT_ID-008,SKU-009,Product-009,sleep_vitamins,bottle,1,false,true
base_product_id,4801267171412,PRODUCT-010,PRODUCT_ID-010,VARIANT_ID-009,SKU-010,Product-010,sleep_vitamins,bottle,3,false,true
base_product_id,2520452071508,PRODUCT-010,PRODUCT_ID-011,VARIANT_ID-010,SKU-010,Product-010,sleep_vitamins,bottle,3,false,true
base_product_id,6632542109780,PRODUCT-011,PRODUCT_ID-012,,SKU-011,Product-011,sleep_vitamins,bottle,6,false,true
base_product_id,2520452923476,PRODUCT-011,PRODUCT_ID-013,VARIANT_ID-011,SKU-011,Product-011,sleep_vitamins,bottle,6,false,true
base_product_id,4670197432404,PRODUCT-012,PRODUCT_ID-014,VARIANT_ID-012,SKU-012,Product-012,bundle,bundle,,true,true
base_product_id,4670214111316,PRODUCT-013,PRODUCT_ID-015,VARIANT_ID-013,SKU-013,Product-013,bundle,bundle,,true,true
base_product_id,4670208606292,PRODUCT-014,PRODUCT_ID-016,VARIANT_ID-014,SKU-014,Product-014,bundle,bundle,,true,true
base_product_id,4627476283476,PRODUCT-015,PRODUCT_ID-017,VARIANT_ID-015,SKU-015,Product-015,accessory,gift_set,,true,true
base_product_id,1563705704532,PRODUCT-016,PRODUCT_ID-018,VARIANT_ID-016,SKU-016,Product-016,accessory,gift_set,,true,true
base_product_id,4351013453908,PRODUCT-017,PRODUCT_ID-019,VARIANT_ID-017,SKU-017,Product-017,accessory,accessory,,false,true
base_product_id,9509352652,PRODUCT-018,PRODUCT_ID-020,VARIANT_ID-018,SKU-018,Product-018,promo,promo_item,3,false,true
base_product_id,2512245719124,PRODUCT-019,PRODUCT_ID-021,VARIANT_ID-019,SKU-019,Product-019,promo,promo_item,1,false,true
base_product_id,9512156044,PRODUCT-020,PRODUCT_ID-022,VARIANT_ID-020,SKU-020,Product-020,promo,promo_item,6,false,true
